Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base set,,,,,,,,
,Serene Ascetic,030/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7acc2f9fcdec5d2649e4a50dc3c96aeb31b87916-744x1039.png,
,Twilight Shroud,031/166,Regular,Common · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0bd93298503d6b1b2f6faf7e97ab494e6e26db76-744x1039.png,
,Frostcoat Mother,032/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/38e2b4f12346a1af420f875c0a5f922c56c4140f-744x1039.png,
,Pakaa Protector,033/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ab3be32adadb72831c07750d8defc7918fd32d96-744x1039.png,
,Resonating Strike,034/166,Regular,Uncommon · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1a625de128019d65d41dd0af4f8d189d5de530a5-744x1039.png,
,Sanction,035/166,Regular,Uncommon · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/daef24792dddefd0971b34d01bd60bc3b11adcca-744x1039.png,
,Sandstone Chimera,036/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7a483e91e2bbb81bc8f66697bd610427b080b45c-744x1039.png,
,Tomb-Raider Barbara,037/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/31d0c16ecaa0bd8522d13d6dd5d940be8111f118-744x1039.png,
,"Akali, Silent",038/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f1a4d73853194a3dde02c51b083d197af89d2bda-744x1039.png,
,"Akali, Silent",038a/166,Alternate art,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/6924311aab46a74aa2c54030c053427725860ea8-744x1039.png,
,Crumbling Sands,039/166,Regular,Rare · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0d7491bdb2e9d18f64a5b53a16623b26a7cac6a1-744x1039.png,
,Decree of Focus,040/166,Regular,Rare · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3f9a1b209cfd6097bac6fa9aec57531e300ef511-744x1039.png,
,"Riven, Shattered",041/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8c16a53ee243e468f3c337de4354668665f3b386-744x1039.png,
,"Shen, Scourge of Shadows",042a/166,Alternate art,Rare · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a4bac7b94b87fbb3227ecdccd9e2aa1231b655c8-744x1039.png,
,"Shen, Scourge of Shadows",042/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bbe849918c7f4189379ae8957dd427a3f272a1a6-744x1039.png,
,Steel Paws,043/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/79d9b6583ed8e7d5a1486f1c15b66b19fb7f69a5-744x1039.png,
,Astral Heron,044/166,Regular,Epic · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b1ce87efc9a1a7e2438c53e034a7f92caaa67ed6-744x1039.png,
